variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014,,
ESVJT,Ownership of jointly held savings account,Assets,EJSOWNSAV,"Owned any savings accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets,0,
ESVOAST,Ownership of solely held savings account,Assets,EOOWNSAV,Owned any savings accounts individually during the reference period.,Assets,0,
ETENURE,Ownership status of living quarters,Household,EEHC_TEN,Tenure of the residence.,Residences,0,
ETENURE,Ownership status of living quarters,Household,ETENURE,"Are ... living quarters owned, rented, or occupied without payment of rent?",Coverage,0,
ETIAMT01,Time lost last month due to child care failures,Child Care,ETIMELOST,Time lost from work due to problems with child care arrangements.,Child and Dependent Care,0,
ETIAMT02,Unit of time lost because of child care failures,Child Care,ETIMELOST_TP,Amount of time lost from work due to child care problems.,Child and Dependent Care,0,
ETOKSCE1,Where ... received subway/bus tokens--gov't agency,General Income,ETOKEN_SOURCE,Did ... receive bus or subway tokens or passes through a government social service agency?,Programs,0,
ETRANTP1,Whether ... received transportation assistance -- gas vouchers,General Income,ETRANS_TYPE1,Did ... receive gas vouchers?,Programs,0,
ETRANTP2,Whether ... received transportation assistance -- bus or subway tokens,General Income,ETRANS_TYPE2,Did ... receive bus or subway tokens or passes?,Programs,0,
ETRANTP3,Whether ... received transportation assistance -- help with car,General Income,ETRANS_TYPE3,"Did ... receive help registering, repairing, or insuring a car?",Programs,0,
ETRANTP4,Whether ... received transportation assistance -- ride to doctors,General Income,ETRANS_TYPE4,Did ... receive rides to a doctor's office or medical appointment?,Programs,0,
ETRANTP5,Whether ... received transportation assistance -- other,General Income,ETRANS_OTH,Did ... receive some other kind of transportation assistance?,Programs,0,
ETYPDAD,Type of child to father,Demographic,EPAR1TYP,Type of relationship to parent 1,Demographics,0,
ETYPMOM,Type of child to mother,Demographic,EPAR2TYP,Type of relationship to parent 2,Demographics,0,
EUECTYP5,Receipt of State unemployment comp. (ISS Code 5),General Income,EUCTYP1YN,"Did ... receive regular, government-provided Unemployment Compensation payments?",Programs,0,
EUECTYP6,Receipt of Supplemental Unemployment Benefits,General Income,EUCTYP2YN,"Did ... receive supplemental, employer-provided Unemployment Compensation payments?",Programs,0,
EUNION1,Union/employee-association membership,Job,EJB1_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force,0,
EUNION2,Union/employee-association membership,Job,EJB2_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force,0,
EUTILYN,Payment of utilities in public housing units,Household,EUTILITIES,"(In addition to rent), the household paid (separately) for water, electricity, gas, or oil?",Programs,0,
EVAQUES,Veteran's annual income questionnaire,Armed Forces,EVAQUES,Was ... required to fill out an annual income questionnaire in order to receive benefit payments from the Department of Veteran Affairs?,Programs,0,
EVAYN,Receipt of payments from the VA this wave,Armed Forces,EVAANY,Did ... receive any benefit payments from the Department of Veterans Affairs at any time during the reference period?,Programs,0,
EVBOW1,Percent of Business owned for first business,Value of Business,EBSJ1PEROWN,Percent ownership of first business owned as a job as of the end of the reference period.,Assets,0,
EVBOW2,Percent of Business owned for second business,Value of Business,EBSJ2PEROWN,Percent ownership of second business owned as a job as of the end of the reference period.,Assets,0,
EVISDENT,Frequency of dental visits in past 12 months,Medical Expenses,TVISDENT,How many visits has ... made to a dentist or other dental professional?,Health Care,0,
EVISDOC,"Frequency of medical provider visits, past 12 months",Medical Expenses,TVISDOC,"How many times did ... see or talk to a doctor, nurse, or any other type of medical provider about his/her health?",Health Care,0,
EWELAC21,"Did you attend job readiness to learn about resume writing, job interviewing, or building self-esteem",,EWELACTV2_1,"Did ... attend any job readiness training to learn about resume writing, job interviewing, or building self-esteem?",Programs,0,
EWELAC22,"Did you attend a job search program or job club, or use a job resource center to find out about jobs, to schedule interviews, or to fill our applicati",,EWELACTV2_2,"Did ... attend any job search program or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications?",Programs,0,
EWELAC23,"Did you attend training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?",,EWELACTV2_3,"Did ... attend any training to learn specific job skills, such as computers, car repair, nursing, day care work, or some other job skills?",Programs,0,
EWELACT1,Did you attend classes to improve basic reading?,,EWELACTV1,Did ... attend any classes to improve basic reading or math skills?,Programs,0,
EWELACT3,"Did ... attend job training because the state or county welfare office required it, or because you choose to do it, or for BOTH reasons?",,EWELACTV3,"Did ... attend training or using job resources because it was required, a choice, or both?",Programs,0,
EWELACT4,"At any time since ... 1st, did ... participate in a work experience program, such as a community service job?",,EWELACTV4,Did ... participate in a work experience program in exchange for TANF?,Programs,0,
EWHOPA1A,Government helped pay for YOUNGEST child's care,Child Care,EWHOPAID1,Did welfare or social service help pay for child care?,Child and Dependent Care,0,
EWHOPA2A,Other parent helped pay for YOUNGEST child's care,Child Care,EWHOPAID3,Did non-resident parent help pay for child care?,Child and Dependent Care,0,
EWHOPA3A,Employer helped pay for YOUNGEST child's care,Child Care,EWHOPAID2,Did employer help pay for child care,Child and Dependent Care,0,
EWHOPA4A,Someone else helped pay for YOUNGEST child's care,Child Care,EWHOPAID5,Did an other option help pay for child care?,Child and Dependent Care,0,
EWORKMOR,Child care problems hinder more time at work/school,Child Care,EWORKMORE,Did child care arrangements prevent reference parent from working or working more?,Child and Dependent Care,0,
EWSBEG1,Time of day work began in job 1,Work Schedule,TJB1_WSBEG,What time of the day did ... begin work most days?,Labor Force,0,
EWSBEG1,Time of day work began in job 1,Work Schedule,TJB2_WSBEG,What time of the day did ... begin work most days?,Labor Force,0,
EWSDAY11,Worked Sundays in job 1,Work Schedule,EJB1_WSWHSUN,Worked on Sundays,Labor Force,0,
EWSDAY12,Worked Mondays in job 1,Work Schedule,EJB1_WSWHMON,Worked on Mondays,Labor Force,0,
EWSDAY13,Worked Tuesdays in job 1,Work Schedule,EJB1_WSWHTUE,Worked on Tuesdays,Labor Force,0,
EWSDAY14,Worked Wednesdays in job 1,Work Schedule,EJB1_WSWHWED,Worked on Wednesdays,Labor Force,0,
EWSDAY15,Worked Thursdays in job 1,Work Schedule,EJB1_WSWHTHU,Worked on Thursdays,Labor Force,0,
EWSDAY16,Worked Fridays in job 1,Work Schedule,EJB1_WSWHFRI,Worked on Fridays,Labor Force,0,
EWSDAY17,Worked Saturdays in job 1,Work Schedule,EJB1_WSWHSAT,Worked on Saturdays,Labor Force,0,
EWSDAY21,Worked Sundays in job 2,Work Schedule,EJB2_WSWHSUN,Worked on Sundays,Labor Force,0,
EWSDAY22,Worked Mondays in job 2,Work Schedule,EJB2_WSWHMON,Worked on Mondays,Labor Force,0,
EWSDAY23,Worked Tuesdays in job 2,Work Schedule,EJB2_WSWHTUE,Worked on Tuesdays,Labor Force,0,
EWSDAY24,Worked Wednesdays in job 2,Work Schedule,EJB2_WSWHWED,Worked on Wednesdays,Labor Force,0,
EWSDAY25,Worked Thursdays in job 2,Work Schedule,EJB2_WSWHTHU,Worked on Thursdays,Labor Force,0,
EWSDAY26,Worked Fridays in job 2,Work Schedule,EJB2_WSWHFRI,Worked on Fridays,Labor Force,0,
EWSDAY27,Worked Saturdays in job 2,Work Schedule,EJB2_WSWHSAT,Worked on Saturdays,Labor Force,0,
EWSDY11,Worked at home on Sundays in job1,Work Schedule,EJB1_WSHMSUN,Worked from home on Sundays,Labor Force,0,
EWSDY12,Worked at home on Mondays in job1,Work Schedule,EJB1_WSHMMON,Worked from home on Mondays,Labor Force,0,
EWSDY13,Worked at home on Tuesdays in job1,Work Schedule,EJB1_WSHMTUE,Worked from home on Tuesdays,Labor Force,0,
EWSDY14,Worked at home on Wednesdays in job1,Work Schedule,EJB1_WSHMWED,Worked from home on Wednesdays,Labor Force,0,
EWSDY15,Worked at home on Thursdays in job1,Work Schedule,EJB1_WSHMTHU,Worked from home on Thursdays,Labor Force,0,
EWSDY16,Worked at home on Fridays in job1,Work Schedule,EJB1_WSHMFRI,Worked from home on Fridays,Labor Force,0,
EWSDY17,Worked at home on Saturdays in job1,Work Schedule,EJB1_WSHMSAT,Worked from home on Saturdays,Labor Force,0,
EWSDY21,Worked at home on Sundays in job2,Work Schedule,EJB2_WSHMSUN,Worked from home on Sundays,Labor Force,0,
EWSDY22,Worked at home on Mondays in job2,Work Schedule,EJB2_WSHMMON,Worked from home on Mondays,Labor Force,0,
EWSDY23,Worked at home on Tuesdays in job2,Work Schedule,EJB2_WSHMTUE,Worked from home on Tuesdays,Labor Force,0,
EWSDY24,Worked at home on Wednesdays in job2,Work Schedule,EJB2_WSHMWED,Worked from home on Wednesdays,Labor Force,0,
EWSDY25,Worked at home on Thursdays in job2,Work Schedule,EJB2_WSHMTHU,Worked from home on Thursdays,Labor Force,0,
EWSDY26,Worked at home on Fridays in job2,Work Schedule,EJB2_WSHMFRI,Worked from home on Fridays,Labor Force,0,
EWSDY27,Worked at home on Saturdays in job2,Work Schedule,EJB2_WSHMSAT,Worked from home on Saturdays,Labor Force,0,
EWSEND2,Time of day work ended in job 2,Work Schedule,TJB2_WSEND,What time of the day did ... end work most days?,Labor Force,0,
EWSHMWK1,Worked only at home in job 1,Work Schedule,EJB1_WSHMWRK,Were there any days when ... worked only from home?,Labor Force,0,
EWSHMWK2,Worked only at home in job 2,Work Schedule,EJB2_WSHMWRK,Were there any days when ... worked only from home?,Labor Force,0,
EWSHRS2,Number of hours per day in job2,Work Schedule,TJB1_WSEND,What time of the day did ... end work most days?,Labor Force,0,
EWSJOB1,Type of schedule work for job 1,Work Schedule,EJB1_WSJOB,What is the best description of ... work schedule?,Labor Force,0,
EWSJOB2,Type of schedule work for job 2,Work Schedule,EJB2_WSJOB,What is the best description of ... work schedule?,Labor Force,0,
EWSMNR1,Reason for type of work schedule- job 1,Work Schedule,EJB1_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force,0,
EWSMNR2,Reason for type of work schedule- job 2,Work Schedule,EJB2_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force,0,
EXMAR,Number of times married in lifetime,Edited Marital History,EXMAR,Number of times married,Marital History,0,
ICERT,Ever earned this type of certificate,Certifications and Certificates,ECERT,"Has...earned an educational certificate at a college, university, community college, or trade school?",Education Enrollment,1,
IPROCERT,Have a professional or state or industry cert,Certifications and Certificates,EPROCERT,Has...earned a professional certification or license?,Education Enrollment,0,
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT1,"Certification or license issued by federal, state, or local government",Education Enrollment,0,
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT2,Certification or license issued by professional or trade association,Education Enrollment,0,
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT3,Certification or license issued by business or company,Education Enrollment,0,
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT4,Certification or license issued by other group or organization,Education Enrollment,0,
RAB1R1,1st reason applied for Pub Asst/AFDC/TANF 1st time,General Income,ETANFBRSN1,First reason TANF receipt began,Programs,0,
RAB1R2,2nd reason applied for Pub Asst/AFDC/TANF 1st time,General Income,TTANFBRSN2,Recoded second reason TANF receipt began,Programs,0,
RANYAGRE,Child support payments ever agreed to or awarded,Child Support,ECSAGREE,Have child support payments ever been court ordered or informally agreed to for person's child(ren)?,Programs,0,
RAS1,Reason stopped AFDC/TANF the first time,General Income,TTANFERSN1,Recoded first reason TANF receipt ended,Programs,0,
RCHAMPM,Military related health care coverage in this month,Health Insurance,EMLMTH,Edited Monthly Indicator for Military Coverage,Health Insurance,0,
RCUOW21A,Person number of first owner of Gen Assist coverage,Coverage,EGAOWN,This question determines the owner of the GA benefits for this spell.,Programs,0,
RCUOWN03,Person number of the owner of the Federal SSI coverage,Coverage,ESSI_OWNER,Who received payments on behalf of ... ?,Programs,0,
RCUOWN25,Person number of the owner of the WIC coverage,Coverage,EWICOWN,This question determines the owner of the WIC benefits for this spell.,Programs,0,
RCUTYP03,Federal SSI coverage flag,Coverage,RSSICOV,SSI coverage at any time during reference year,Programs,0,
RCUTYP20,Public assistance payments program coverage flag,Coverage,RTANFCOV,TANF coverage at any time during reference year,Programs,0,
RCUTYP21,General Assistance coverage flag,Coverage,RGACOV,GA coverage at any time during reference year,Programs,0,
RCUTYP25,WIC coverage flag,Coverage,RWICCOV,WIC coverage at any time during reference year,Programs,0,
RCUTYP27,food Stamp coverage flag,Coverage,RFSCOV,SNAP coverage at any time during reference year,Programs,0,
RDESGPNT,Designated parent or guardian flag,Demographic,ERP,Identifies if adult is a reference parent to any household children under 18 years old,Child and Dependent Care,0,
REMPDRSN,Reason for receipt of employer disability payments,General Income,EDISTYP2YN,Did ... receive employer disability payments?,Programs,0,
RENROLL,Enrolled Full/Part sometime during 4 month period,Education,EEDFTPT,Asks whether spell of enrollment was full or part-time.,Education Enrollment,0,
RENROLL,Enrolled Full/Part sometime during 4 month period,Education,RENROLL,Recode for monthly enrollment status,Education Enrollment,0,
RESTARSN,Reason for receiving income from estates and trusts,General Income,ESURTYP11YN,Did ... receive Survivor Benefit payments from an estate or trust?,Programs,0,
RFB1R2,2nd reason for applying for food stamps the 1st time,General Income,EFSBRSN2,Second reason FS receipt began.,Programs,0,
RFCSRSN,Reason for receipt of federal civilian pension,General Income,EDISTYP4YN,Did ... receive disability income from a Federal civil service or other Federal civilian employee pension?,Programs,0,
RFCSRSN,Reason for receipt of federal civilian pension,General Income,ERETTYP2YN,Did ... receive retirement income from a Federal civil service or other Federal civilian employee pension?,Programs,0,
RFCSRSN,Reason for receipt of federal civilian pension,General Income,ESURTYP3YN,Did ... receive Survivor Benefits from Federal Civil Service or other Federal Civilian employee pension?,Programs,0,
RFID,Family ID Number for this month,Family,RFAMNUM,Family number,Demographics,0,
RFNKIDS,Total number of children under 18 in family,Family,RFRELU18,Number of persons in family under 18 years,Demographics,1,
RFPOV,Poverty threshold for this family in this month,Family,RFPOV,"Family poverty threshold in this month, excluding Type 2 individuals",Poverty and Income,0,
RGB1R1,1st reason applying for General Asst the 1st time,General Income,TGABRSN1,Recoded first reason GA receipt began,Programs,0,
RGB1R2,2nd reason applying for General Asst the 1st time,General Income,TGABRSN2,Recoded second reason GA receipt began,Programs,0,
RGED,Completed high school by GED or equivalency,Education,RGED,Did respondent complete high school by diploma or GED?,Education Enrollment,0,
RGS1,Reason for stopping General Assist the 1st time,General Income,TGAERSN1,Recoded first reason GA receipt ended,Programs,0,
RHHSTK,Equity in stocks and mutual fund shares,Real Estate,THVAL_STMF,"Household-level sum of value of stocks and mutual funds (TVAL_STMF) [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
RHHUSCBT,Total Unsecured Debt,Real Estate,THDEBT_USEC,"Household-level sum of value of amount owed on all unsecured debt (TDEBT_USEC) [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
RHPOV,Poverty threshold for this household in this month,Household,RHPOV,"Household poverty threshold in this month, excluding Type 2 individuals",Poverty and Income,0,
RINSRSN,Reason for payment from own insurance policy,General Income,EDISTYP1YN,"Did ... receive payments from a sickness, accident, or disability insurance policy?",Programs,0,
RINSRSN,Reason for payment from own insurance policy,General Income,EDISTYPTWO,"Did ... receive payments from a sickness, accident, or disability insurance policy that he/she purchased on his/her own?",Programs,0,
RLGOVRSN,Reason for receipt of local government pension,General Income,EDISTYP6YN,Did ... receive disability income from a Local government pension?,Programs,0,
RLGOVRSN,Reason for receipt of local government pension,General Income,ERETTYP4YN,Did ... receive retirement income from a Local government pension?,Programs,0,
RLGOVRSN,Reason for receipt of local government pension,General Income,ESURTYP6YN,Did ... receive Survivor Benefits from a local government pension?,Programs,0,
RLIFIRSN,Reason for payments from paid-up life ins. policy,General Income,ELIFEREG,Did ... retirement income from a paid-up life insurance policy or annuity come as a single lump-sum?,Programs,0,
RLIFIRSN,Reason for payments from paid-up life ins. policy,General Income,ESURTYP7YN,Did ... receive Survivor Benefits from a paid-up life insurance policy or annuity?,Programs,0,
RLNGISOL,Linguistic isolation,Demographic,RLNGISOL,"Recode indicating if respondent lives in a limited English-speaking household (a household in which no one 14 and over speaks English or speaks a language other than English at home and speaks English ""Very well"").",Demographics,0,
RMESR,Employment status recode for month,Labor Force,RMESR,Recode for monthly employment status.,Labor Force,0,
RMHRSWK,Usual hours worked per week recode in month,Labor Force,TMWKHRS,Average number of hours worked per week at all jobs held during the reference month.,Labor Force,1,
RMILRSN,Reason for receipt of U.S. military retirement,General Income,EDISTYP7YN,Did ... receive disability income from a U.S. Military retirement?,Programs,0,
RMILRSN,Reason for receipt of U.S. military retirement,General Income,ERETTYP5YN,Did ... receive retirement income from  Military retirement pay?,Programs,0,
RMILRSN,Reason for receipt of U.S. military retirement,General Income,ESURTYP8YN,Did ... receive Survivor Benefits from a Military retirement pay?,Programs,0,
RMWKLKG,Number of weeks looking for work/on layoff in month,Labor Force,RMWKLKG,Number of weeks looking for a job or on layoff during the month.,Labor Force,0,
RMWKSAB,Number of weeks absent without pay from job in month,Labor Force,RMWKSAB,Number of weeks absent without pay from a job during the month.,Labor Force,0,
RMWKWJB,Number of weeks with a job in month,Labor Force,RMWKWJB,Number of weeks with a job during the month.,Labor Force,0,
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,EDISTYP10YN,Did ... receive disability income from other disability income?,Programs,0,
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,ERETTYP8YN,Did ... receive retirement income from other retirement income?,Programs,0,
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,ESURTYP13YN,Did ... receive other survivor income?,Programs,0,
RPENSRSN,Reason for pension from company or union,General Income,EDISTYP3YN,Did ... receive disability income from a pension from a company or union including income from a profit-sharing plan?,Programs,0,
RPENSRSN,Reason for pension from company or union,General Income,ERETTYP1YN,Did ... receive retirement income from a company or union including income from a profit-sharing plan?,Programs,0,
RPENSRSN,Reason for pension from company or union,General Income,ESURTYP1YN,Did ... receive Survivor Benefits from a pension from a company or union including income from a profit-sharing plan?,Programs,0,
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,EDISTYP8YN,Did ... receive disability income from a U.S. Government railroad retirement?,Programs,0,
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,ERETTYP6YN,Did ... receive retirement income from U.S. Government railroad retirement?,Programs,0,
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,ESURTYP4YN,Did ... receive Survivor Benefits from the U.S. government railroad retirement?,Programs,0,
RSB1R1,1st reason applying for SSI the 1st time,General Income,ESSI_BRSN1,Why did ... begin receiving SSI in ESSI_BMONTH? (First reason for receipt beginning in ESSI_BMONTH),Programs,0,
RSB1R2,2nd reason applying for SSI the 1st time,General Income,TSSI_BRSN2,Why did ... begin receiving SSI in ESSI_BMONTH? (Recoded second reason for receipt beginning in ESSI_BMONTH),Programs,0,
RSS1,Reason for stopping SSI the first time,General Income,TSSI_ERSN1,Why did ... stop receiving SSI in ESSI_EMONTH? (Recoded first reason for receipt ending in ESSI_EMONTH),Programs,0,
RSTATRSN,Reason for receipt of state government pension,General Income,EDISTYP5YN,Did ... receive disability income from a State government pension?,Programs,0,
RSTATRSN,Reason for receipt of state government pension,General Income,ERETTYP3YN,Did ... receive retirement income from a State government pension?,Programs,0,
RSTATRSN,Reason for receipt of state government pension,General Income,ESURTYP5YN,Did ... receive Survivor Benefits from a state government pension?,Programs,0,
RVETSRSN,Reason for receipt of Veterans' comp. or pensions,General Income,ESURTYP2YN,Did ... receive Survivor Benefits from Veterans' compensation or pension?,Programs,0,
RWB1R1,First reason for applying for WIC the 1st time,General Income,EWICBRSN1,First reason WIC receipt began,Programs,0,
RWB1R2,Second reason for applying for WIC the 1st time,General Income,TWICBRSN2,Recoded second reason WIC receipt began,Programs,0,
RWCMPRSN,Reason for receipt of workers' compensation,General Income,ESURTYP10YN,Did ... receive Survivor Benefits from Workers' compensation?,Programs,0,
RWKESR1,Employment Status Recode for Week 1,Labor Force,RWKESR1,Employment status recode for week 1,Labor Force,1,
RWKESR2,Employment Status Recode for Week 2,Labor Force,RWKESR2,Employment status recode for week 2,Labor Force,1,
RWKESR3,Employment Status Recode for Week 3,Labor Force,RWKESR3,Employment status recode for week 3,Labor Force,1,
RWKESR4,Employment Status Recode for Week 4,Labor Force,RWKESR4,Employment status recode for week 4,Labor Force,1,
RWKESR5,Employment Status Recode for Week 5,Labor Force,RWKESR5,Employment status recode for week 5,Labor Force,1,
RWKSPERM,Number of weeks in this month,Labor Force,RWKSPERM,Number of weeks in the month,Labor Force,0,
RWS1,Reason for stopping WIC the first time,General Income,EWICERSN1,First reason WIC receipt ended,Programs,0,
T01AMTA,Amount of Social Security - Adult (ISS Code 1),General Income,TSSSAMT,"How much did ... receive in Social Security benefit payment in this month (1-12), including any deductions for Medicare premiums?",Programs,0,
T01AMTK,Amount of Social Security - Child (ISS Code 1),General Income,TSSCAMT,How much did ... receive in Social Security benefit payment on behalf of a child(ren) in this month (1-12) of the reference period?,Programs,0,
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TDIS8AMT,How much did ... receive in disability income from a U.S. Government railroad retirement this month (1-12)?,Programs,0,
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TRET6AMT,How much retirement income did ... receive from a U.S. Government railroad retirement this month (1-12)?,Programs,0,
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TSUR4AMT,How much survivor income did ... receive from the U.S. Government Railroad Retirement during this month (1-12)?,Programs,0,
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TSUR7AMT,How much survivor income did ... receive from U.S. Government Railroad Retirement during this month (1-12)?,Programs,0,
T03AMTA,Amount of Federal SSI - Adult (ISS Code 3),General Income,TSSI_AMT,SSI payment amount for this month,Programs,0,
T05AMT,Amount of State unemployment compensation,General Income,TUC1AMT,"Amount of regular, government-provided Unemployment Compensation payments received in each month of reference period.",Programs,0,
T06AMT,Amount of Supplemental Unemployment Benefits,General Income,TUC2AMT,"Amount of supplemental, employer-provided Unemployment Compensation payments received in each month of reference period.",Programs,0,
T08AMT,Amount of Veterans compensation or pension,General Income,TSUR2AMT,How much survivor income did ... receive from Veterans' compensation during this month (1-12)?,Programs,0,
T10AMT,Amount of workers' compensation (ISS Code 10),General Income,TSUR10AMT,Suppressed,Programs,0,
T10AMT,Amount of workers' compensation (ISS Code 10),General Income,TWCAMT,How much did ... receive in workers' compensation in this month of the reference period (1-12)?,Programs,0,
T13AMT,"Amount of own sickness, accident, disability insur.",General Income,TDIS1AMT,"How much did ... receive in payments from a sickness, accident, or disability insurance policy  this month (1-12)?",Programs,0,
T14AMT,Amount of employer disability payments (ISS Code 14),General Income,TDIS2AMT,How much did ... receive in employer disability payments this month (1-12)?,Programs,0,
T15AMT,Amount of severance pay (ISS Code 15),General Income,ELMPNOW,Did ... receive any severance pay or lump sum payments from a pension or retirement plan during the reference period?,Programs,0,
T20AMT,Amount of public assistance payments (ISS Code 20),General Income,TTANF_AMT,TANF amount received in  this month,Programs,0,
T21AMT,Amount of General Assistance or General Relief,General Income,TGA_AMT,GA amount received in this month,Programs,0,
T23AMT,Amount of foster child care payments (ISS Code 23),General Income,TFCCAMT,Amount of foster child care payments received in each month of reference period.,Programs,0,
T25AMT,Amount of WIC payments (ISS Code 25),General Income,TWICAMT,WIC amount received in this month,Programs,0,
T27AMT,Amount of food stamps (ISS Code 27),General Income,TFS_AMT,Food stamps amount received in this month,Programs,0,
T28AMT,Amount of child support payments (ISS Code 28),General Income,TCSAMT,Amount of child support payments received in each month of reference period.,Programs,0,
T29AMT,Amount of alimony payments (ISS Code 29),General Income,TALIAMT,Amount of alimony  payments received in each month of reference period.,Programs,0,
T30AMT,Amount of pension from a company or union,General Income,TDIS3AMT,How much did ... receive in disability income from a pension from a company or union including from a profit-sharing plan this month (1-12)?,Programs,0,
T30AMT,Amount of pension from a company or union,General Income,TRET1AMT,How much retirement income did ... receive from a pension from a company or union including income from a profit sharing plan this month (1-12)?,Programs,0,
T30AMT,Amount of pension from a company or union,General Income,TSUR1AMT,How much survivor income did ... receive in pension from a company or union including income from a profit-sharing plan during this month (1-12)?,Programs,0,
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TDIS4AMT,How much did ... receive in Federal civil service or other federal civilian  employee pension this month (1-12)?,Programs,0,
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TRET2AMT,How much retirement income did ... receive from a Federal civil service or other Federal civilian employee pension this month (1-12)?,Programs,0,
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TSUR3AMT,How much survivor income did ... receive from the Federal Civil Service or other Federal civilian employee pension during this month (1-12)?,Programs,0,
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TSUR6AMT,How much survivor income did ... receive from Federal Civil Service or other Federal civilian employee pension during this month (1-12)?,Programs,0,
T32AMT,Amount of U.S. Military retirement pay,General Income,TDIS7AMT,How much did ... receive in disability income from a Military retirement pension this month (1-12)?,Programs,0,
T32AMT,Amount of U.S. Military retirement pay,General Income,TRET5AMT,How much retirement income did ... receive from a Military retirement pay  this month (1-12)?,Programs,0,
T32AMT,Amount of U.S. Military retirement pay,General Income,TSUR8AMT,How much survivor income did ... receive from military retirement pay during this month (1-12)?,Programs,0,
T34AMT,Amount of State government pension (ISS Code 34),General Income,TDIS5AMT,How much did ... receive in disability income from a State government pension this month (1-12)?,Programs,0,
T34AMT,Amount of State government pension (ISS Code 34),General Income,TSUR5AMT,How much survivor income did ... receive from a state government during this month (1-12)?,Programs,0,
T35AMT,Amount of local government pension (ISS Code 35),General Income,TDIS6AMT,How much did ... receive in disability income from a Local government pension this month (1-12)?,Programs,0,
T35AMT,Amount of local government pension (ISS Code 35),General Income,TRET3AMT,How much retirement income did ... receive from a State government pension this month (1-12)?,Programs,0,
T35AMT,Amount of local government pension (ISS Code 35),General Income,TRET4AMT,How much retirement income did ... receive from a Local government pension this month (1-12)?,Programs,0,
T36AMT,Amount of income from paid-up life insurance policy,General Income,TLIFEAMT,What was the total amount of life insurance payments ... received?,Programs,0,
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TDIS10AMT,How much did ... receive in other disability income this month (1-12)?,Programs,0,
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TRET8AMT,How much retirement income did ... receive from other retirement income this month (1-12)?,Programs,0,
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TSUR13AMT,How much other survivor income did ... receive during this month (1-12)?,Programs,0,
T52AMT,Amount of lump sum payments (ISS Code 52),General Income,TLMPAMT,"What was the total amount of lump sum payments ... received during the reference period from a pension or retirement plan, or severance pay, or some other type of lump sum payment?",Programs,0,
TA1AMT,Amount owed for 1st vehicle,Real Estate,TVEH1DEBTVAL,"Amount owed the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
TA1YEAR,Car Year for First Vehicle,Real Estate,TVEH1_YEAR,Model year of the first vehicle that was reported,Assets,0,
TA2AMT,Amount owed for second vehicle,Real Estate,TVEH2DEBTVAL,"Amount owed the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
TA2YEAR,Car Year for Second Vehicle,Real Estate,TVEH2_YEAR,Model year of the second vehicle that was reported,Assets,0,
TA3AMT,Amount owed for third vehicle,Real Estate,TVEH3DEBTVAL,"Amount owed the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
TA3YEAR,Car Year for Third Vehicle,Real Estate,TVEH3_YEAR,Model year of the third vehicle that was reported,Assets,0,
TAGE,Age as of last birthday,Demographic,TAGE,Age as of last birthday,Demographics,1,
TAGESS,Age Social Security Disability payments began,General Income,TSSAGESS,At what age did ... begin receiving social security benefits because of his/her disability?,Programs,0,
