Used,variable_2014,description_2014,topic_2014,variable_2008,description_2008,topic_2008,Used
,EWELACTV2_3,"Did ... attend any training to learn specific job skills, such as computers, car repair, nursing, day care work, or some other job skills?",Programs,EWELAC23,"Did you attend training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?",,
,EWELACTV3,"Did ... attend training or using job resources because it was required, a choice, or both?",Programs,EWELACT3,"Did ... attend job training because the state or county welfare office required it, or because you choose to do it, or for BOTH reasons?",,
,EWELACTV4,Did ... participate in a work experience program in exchange for TANF?,Programs,EWELACT4,"At any time since ... 1st, did ... participate in a work experience program, such as a community service job?",,
,EWELAC_MNYN,Did ... attend class or job training this month (1-12)?,Programs,*** NO MATCH AVAILABLE ***,,,
,EWHOCERT1,"Certification or license issued by federal, state, or local government",Education Enrollment,IWHOPCER,Who awarded this certification or license,Certifications and Certificates,
,EWHOCERT2,Certification or license issued by professional or trade association,Education Enrollment,IWHOPCER,Who awarded this certification or license,Certifications and Certificates,
,EWHOCERT3,Certification or license issued by business or company,Education Enrollment,IWHOPCER,Who awarded this certification or license,Certifications and Certificates,
,EWHOCERT4,Certification or license issued by other group or organization,Education Enrollment,IWHOPCER,Who awarded this certification or license,Certifications and Certificates,
,EWHOPAID1,Did welfare or social service help pay for child care?,Child and Dependent Care,EWHOPA1A,Government helped pay for YOUNGEST child's care,Child Care,
,EWHOPAID2,Did employer help pay for child care,Child and Dependent Care,EWHOPA3A,Employer helped pay for YOUNGEST child's care,Child Care,
,EWHOPAID3,Did non-resident parent help pay for child care?,Child and Dependent Care,EWHOPA2A,Other parent helped pay for YOUNGEST child's care,Child Care,
,EWHOPAID4,Did a relative or friend help pay for child care?,Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
,EWHOPAID5,Did an other option help pay for child care?,Child and Dependent Care,EWHOPA4A,Someone else helped pay for YOUNGEST child's care,Child Care,
,EWICBRSN1,First reason WIC receipt began,Programs,RWB1R1,First reason for applying for WIC the 1st time,General Income,
,EWICCOVTYP,Type of WIC coverage,Programs,*** NO MATCH AVAILABLE ***,,,
,EWICERSN1,First reason WIC receipt ended,Programs,RWS1,Reason for stopping WIC the first time,General Income,
,EWICERSN2,Suppressed,Programs,*** NO MATCH AVAILABLE ***,,,
,EWICLCY,Initial year of WIC receipt if the spell began in January of the reference year.,Programs,*** NO MATCH AVAILABLE ***,,,
,EWICOWN,This question determines the owner of the WIC benefits for this spell.,Programs,RCUOWN25,Person number of the owner of the WIC coverage,Coverage,
,EWIC_BMONTH,Begin month of WIC spell.,Programs,*** NO MATCH AVAILABLE ***,,,
,EWIC_EMONTH,End month of WIC spell,Programs,*** NO MATCH AVAILABLE ***,,,
,EWILLFILE,Does ... expect to file a federal tax return for the previous calendar year?,Programs,*** NO MATCH AVAILABLE ***,,,
,EWORKMORE,Did child care arrangements prevent reference parent from working or working more?,Child and Dependent Care,EWORKMOR,Child care problems hinder more time at work/school,Child Care,
,EXMAR,Number of times married,Marital History,EXMAR,Number of times married in lifetime,Edited Marital History,
,EYNOESI_COV,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage.  (Already covered under someone else's plan),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_ELG,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Not eligible - for any other reason),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_ELS,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Able to get care elsewhere - such as a health clinic),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_EXP,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Too expensive),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_HRS,"Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Part-time, temporary, or Contract employee)",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_HTH,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Healthy -haven't needed health insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_MIS,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Missed enrollment window),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_NEW,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Haven't worked for this employer long enough),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_OTH,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Other),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOESI_UNH,Reason(s) respondent didn't sign up for employer-sponsored health insurance coverage. (Dissatisfied or don't believe in insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_CON,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Too difficult or confusing to apply),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_COV,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Have another kind of coverage),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_ELG,Reason(s) respondent had at least one month with no private health insurance coverage (including Medicare). (Denied or not eligible),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_ELS,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Able to get care elsewhere (such as a health clinic)),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_EXP,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Too expensive),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_HTH,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Healthy - haven't needed health insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_MIS,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Missed enrollment window),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_OTH,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Other),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPRI_UNH,Reason(s) respondent had at least one month with no private health insurance (including Medicare). (Dissatisfied or don't believe in insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_CON,Reason(s) respondent had no public health insurance in at least one month. (Too difficult or confusing to apply),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_ELG,Reason(s) respondent had no public health insurance in at least one month. (Denied or not eligible),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_ELS,Reason(s) respondent had no public health insurance in at least one month. (Able to get care elsewhere -such as a health clinic),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_HTH,Reason(s) respondent had no public health insurance in at least one month.  (Healthy - haven't needed health insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_MIS,Reason(s) respondent had no public health insurance in at least one month. (In waiting period or missed enrollment window),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_OTH,Reason(s) respondent had no public health insurance in at least one month. (Other),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,EYNOPUB_UNH,Reason(s) respondent had no public health insurance in at least one month. (Dissatisfied or don't believe in insurance),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,GHLFSAM,"Half sample code. A code used to divide the sample into ""half sample"" replicates that are used for variance estimation.",ID Variables,*** NO MATCH AVAILABLE ***,,,
,GVARSTR,Variance pseudo stratum code. Strata formed for half sample variance estimation,ID Variables,*** NO MATCH AVAILABLE ***,,,
1,EDINROP,How many days in a typical week did other parent eat dinner with child/children?,Adult and Child Well Being,EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,1
1,EDINRPAR,How many days in a typical week did reference parent eat dinner with child/children?,Adult and Child Well Being,EEATDINN,Number of days you ate dinner with child,Child Well-Being,1
,RAFEVER,Did this person ever serve on active duty in the U.S. Armed Forces?,Demographics,EAFEVER,Lifetime Armed Forces status,Armed Forces,
1,EEDUC,What is the highest level of school ... completed or the highest degree received by December of (reference year)?,Demographics,EEDUCATE,Highest Degree received or grade completed,Education,1
,RCARES,Child cares about school,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,RCB_UNION,Current relationship with spouse/partner is a child bearing union,Fertility History,*** NO MATCH AVAILABLE ***,,,
,RCDMTH,Recode - Monthly Medicaid coverage  (comparable to prior SIPP Panels),Health Insurance,ECDMTH,Medicaid coverage in this month,Health Insurance,
,RCHTYP1,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP10,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP11,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP12,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP13,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP14,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP15,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP16,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP17,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP18,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP19,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP2,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP3,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP4,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP5,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP6,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP7,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP8,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCHTYP9,Way child is related to respondent,Demographics,*** NO MATCH AVAILABLE ***,,,
,RCLUB,Child is in clubs,Adult and Child Well Being,ECLUBSCH,Does child participate in any clubs,Child Well-Being,
,RDAYCARE,Child is in day care,Child and Dependent Care,EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,
,RDAYHS,Child is in a Head Start day care,Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
,RDINROP,Number of times other parent had dinner with child 0-17.,Adult and Child Well Being,EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,
,RDINRPAR,Number of times reference parent had dinner with child 0-17.,Adult and Child Well Being,EEATDINN,Number of days you ate dinner with child,Child Well-Being,
,RDIS,"Recode - indicates individual has at least one of six core disability measures (Hearing, Seeing, Cognitive, Ambulatory, Self-Care, Independent Living)",Disability,*** NO MATCH AVAILABLE ***,,,
,RDIS_ALT,"Recode Indicates individual has at least one disability as indicated by any of the six core disability questions, three child disability questions, or two work disability questions.",Disability,*** NO MATCH AVAILABLE ***,,,
,RED_CONTFLG,Recode variable indicating the continuation status of when spells occurring in month 12 end,Education Enrollment,*** NO MATCH AVAILABLE ***,,,
,REHC_REGION,Monthly region of residence,Residences,*** NO MATCH AVAILABLE ***,,,
,RENROLL,Recode for monthly enrollment status,Education Enrollment,RENROLL,Enrolled Full/Part sometime during 4 month period,Education,
,REXPSCH,Child was expelled,Adult and Child Well Being,EEXPSCHL,Has child been expelled from school,Child Well-Being,
,RFAM,Child is in family day care,Child and Dependent Care,ECKD07A,Arrangement of family day care provider,Child Care,
,RFAMKIND,Kind of family,Demographics,EFTYPE,Type of family (or pseudo-family),Family,
,RFAMKINDWT2,Kind of family (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RFAMNUM,Family number,Demographics,RFID,Family ID Number for this month,Family,
,RFAMNUMWT2,Family number (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RFAMREF,Person number of the family reference person,Demographics,EFREFPER,Person number of the family reference person,Family,
,RFAMREFWT2,Person number of the family reference person (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RFOODR,Recode for the raw food security score that is a count of affirmative responses.,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,RFOODS,Recode variable for food security status.,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
1,RFPERSONS,Number of persons in family,Demographics,EFNP,Number of persons in this family or pseudo family,Family,1
,RFPERSONSWT2,Number of persons in family (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RFPOV,"Family poverty threshold in this month, excluding Type 2 individuals",Poverty and Income,RFPOV,Poverty threshold for this family in this month,Family,
,RFPOVT2,"Family poverty threshold in this month, including Type 2 individuals",Poverty and Income,*** NO MATCH AVAILABLE ***,,,
1,EGRNDPR,Are you a grandparent?,Fertility History,EGRNDPR,Is respondent a grandparent,Fertility History,1
,RFRELU18WT2,Number of persons in family under 18 years (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RFSCOV,SNAP coverage at any time during reference year,Programs,RCUTYP27,food Stamp coverage flag,Coverage,
,RFSYN,Recoded variable indicating whether respondent is covered by the SNAP benefit in this month,Programs,ER27,Receipt of food stamps (ISS Code 27),General Income,
,RFS_CONTFLG,Recode variable indicating the continuation status of spells with EFS_EMONTH = 12,Programs,*** NO MATCH AVAILABLE ***,,,
,RGACOV,GA coverage at any time during reference year,Programs,RCUTYP21,General Assistance coverage flag,Coverage,
,RGA_CONTFLG,Recode variable indicating the continuation status of spells with EGA_EMONTH = 12,Programs,*** NO MATCH AVAILABLE ***,,,
,RGED,Did respondent complete high school by diploma or GED?,Education Enrollment,RGED,Completed high school by GED or equivalency,Education,
,RGETBY,Child does just enough to get by,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,RGIFTED,Child is in a gifted class,Adult and Child Well Being,ESPECSCH,Is child a gifted student,Child Well-Being,
,RGRAN,Child is cared for by grandparent,Child and Dependent Care,ECKD05A,Arrangement of grandparent,Child Care,
,RHEADST,Child is in Head Start,Child and Dependent Care,ECKD10A,Arrangement of Head Start program,Child Care,
,RHIMTH,Recode - Monthly Private coverage  (comparable to prior SIPP Panels),Health Insurance,EHIMTH,Health ins cover this mnth(not Medicare or Medicaid),Health Insurance,
,RHIOLDKD,Recode - indicates if child over 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,EHIOLDKD,Coverage of older child (20+) outside the household,Health Insurance,
,RHIOTHER,Recode - indicating if anyone outside household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,EHIOTHER,Health insurance coverage of nonhousehold members,Health Insurance,
,RHIOTHR,"Recode - indicates if other person(s) (besides spouse, or younger child, or older child) outside the household was covered by this insurance plan (comparable to prior SIPP Panels)",Health Insurance,EHIOTHR,Coverage of other person(s) outside the household,Health Insurance,
,RHIOWNER,Recode -  policyholder during the month (comparable to prior SIPP Panels),Health Insurance,EHIOWNER,"Covered by own plan, someone else's, both or neither",Health Insurance,
,RHISPSE,Recode - indicates if spouse outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,EHISPSE,Coverage of spouse outside the household,Health Insurance,
,RHIYNGKD,Recode - indicates if child under 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance,EHIYNGKD,Coverage of younger child (under 20) outside the hhld,Health Insurance,
,RHLTHMTH,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RHMWRK,Child does homework,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,RHNUM65OVER,Number of persons in household 65 years and over this month,Demographics,*** NO MATCH AVAILABLE ***,,,
,RHNUM65OVRT2,Number of persons in household 65 years and over this month (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RHNUMPER,Number of persons in household this month,Demographics,*** NO MATCH AVAILABLE ***,,,
,RHNUMPERWT2,Number of persons in household this month (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RHNUMU18,Number of persons in household under 18 years this month,Demographics,*** NO MATCH AVAILABLE ***,,,
,RHNUMU18WT2,Number of persons in household under 18 years this month (with Type 2 persons),Demographics,*** NO MATCH AVAILABLE ***,,,
,RHPOV,"Household poverty threshold in this month, excluding Type 2 individuals",Poverty and Income,RHPOV,Poverty threshold for this household in this month,Household,
,RHPOVT2,"Household poverty threshold in this month, including Type 2 individuals",Poverty and Income,*** NO MATCH AVAILABLE ***,,,
,RIHSMTH,Recode - Indian Health Services Coverage during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RJB1_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB1_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,EBIZNOW1,Ownership of business,,
,RJB1_CONTFLG,Labor Force,Labor Force,ESTLEMP1,Still working for this employer,,
,RJB2_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB2_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,EBIZNOW2,Ownership of business,,
,RJB2_CONTFLG,Labor Force,Labor Force,ESTLEMP2,Still working for this employer,,
,RJB3_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB3_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB4_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB4_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB5_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB5_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB6_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB6_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB7_COMMTYP,Suppressed,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RJB7_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RKIDSELF,Child cares for self,Child and Dependent Care,ESELFCAA,YOUNGEST child cared for self,Child Care,
,RLESSON,Child takes lessons,Adult and Child Well Being,ELESSONS,"Does child take music, dance, language lessons",Child Well-Being,
,RLNGD_MEALS,"Edited person number of the guardian (mom, dad, or other guardian if parents not of age or not in household) of children ages 5 to 18 who have not yet graduated from high school",Programs,*** NO MATCH AVAILABLE ***,,,
,RLNGISOL,"Recode indicating if respondent lives in a limited English-speaking household (a household in which no one 14 and over speaks English or speaks a language other than English at home and speaks English ""Very well"").",Demographics,RLNGISOL,Linguistic isolation,Demographic,
,RMC_CONTFLG,Recode variable indicating Medicare coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RMD_CONTFLG,Recode variable indicating  Medical Assistance (Medicaid) coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RMESR,Recode for monthly employment status.,Labor Force,RMESR,Employment status recode for month,Labor Force,
,RMINC_ANY,Received income from one or more miscellaneous sources during the reference year,Programs,*** NO MATCH AVAILABLE ***,,,
,RML_CONTFLG,Recode variable indicating Military  coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RMNUMJOBS,Recode of number of jobs held within the reference month.,Labor Force,EBUSCNTR,Number of businesses owned during reference period,Labor Force,
,RMNUMJOBS,Labor Force,Labor Force,EJOBCNTR,Number of jobs held during the reference period,Labor Force,
1,EMS,"Is ... currently married, widowed, divorced, separated, or never married?",Demographics,EMS,Marital status,Demographic,1
,RMWKLKG,Number of weeks looking for a job or on layoff during the month.,Labor Force,RMWKLKG,Number of weeks looking for work/on layoff in month,Labor Force,
,RMWKSAB,Number of weeks absent without pay from a job during the month.,Labor Force,RMWKSAB,Number of weeks absent without pay from job in month,Labor Force,
,RMWKWJB,Number of weeks with a job during the month.,Labor Force,RMWKWJB,Number of weeks with a job in month,Labor Force,
,RNONHH,Recode - indicating coverage by plan owned by someone outside household during the month (comparable to prior SIPP Panels),Health Insurance,ENONHH,Covered by plan owned by person outside household,Health Insurance,
,RNREL,Child is in non-relative care,Child and Dependent Care,ECKD13F,Arrangement of a non-relative,Child Care,
,RNUR,Child is in nursery care,Child and Dependent Care,ECKD09A,Arrangement of nursery or preschool,Child Care,
,RNURHS,Child is in Head Start nursery care,Child and Dependent Care,*** NO MATCH AVAILABLE ***,,,
,ROTHR,Child uses other type of child care,Child and Dependent Care,ECKD06A,Arrangement of any other relative,Child Care,
,ROT_CONTFLG,Recode variable indicating Other coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,ROUTINGSROP,Number of times the other parent takes child 0-5 on outings.,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,ROUTINGSRPAR,Number of times the reference parent takes child 0-5 on outings.,Adult and Child Well Being,*** NO MATCH AVAILABLE ***,,,
,ROVERLAPMN,Indicates more than one non-employment spell ongoing in the month,Labor Force,*** NO MATCH AVAILABLE ***,,,
,RPAR,Child is cared for by other parent,Child and Dependent Care,ECKD01A,Arrangement of other parent or stepparent,Child Care,
,RPAR1TYP_EHC,Event History Calendar: Type of relationship to parent 1,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPAR2TYP_EHC,Event History Calendar: Type of relationship to parent 2,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD1,Person number of child 1,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD10,Person number of child 10,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD11,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD12,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD13,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD14,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD15,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD16,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD17,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD18,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD19,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD2,Person number of child 2,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD3,Person number of child 3,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD4,Person number of child 4,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD5,Person number of child 5,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD6,Person number of child 6,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD7,Person number of child 7,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD8,Person number of child 8,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNCHILD9,Person number of child 9,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNPAR1_EHC,Event History Calendar: Person number of parent 1,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPNPAR2_EHC,Event History Calendar: Person number of parent 2,Demographics,*** NO MATCH AVAILABLE ***,,,
,RPR1_CONTFLG,Recode variable indicating Private line 1 health insurance coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPR2_CONTFLG,Recode variable indicating Private line 2 health insurance coverage continued beyond month 12.,Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPRIMTH,Recode - Private Coverage during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPRITYPE1,Recode - Monthly Non-Military Employer-related Private Coverage (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPRITYPE2,Recode - Monthly Direct-Purchase Private Coverage (includes school-based coverage) (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPRITYPE3,Recode - Monthly Medigap (Supplemental Insurance) Private Coverage (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPROG,Child is in before/after school care,Child and Dependent Care,ECKD12F,Arrangement of before or after school care program,Child Care,
,RPTYN,Recoded variable indicating which household members received pass through child support payments in this month,Programs,*** NO MATCH AVAILABLE ***,,,
,RPUBMTH,Monthly recode- Public Coverage during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPUBTYPE1,"Recode - Monthly Medicare Public Coverage at any point during the month, excludes Part A only  (New as of 2014 Panel)",Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPUBTYPE2,Recode - Medical Assistance Public Coverage at any point during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPUBTYPE3,Monthly recode - Military-Related Public Coverage (TRICARE or CHAMPUS) at any point during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RPUBTYPE4,Recode - Military Related Public Coverage (CHAMPVA or VA care) at any point during the month (New as of 2014 Panel),Health Insurance,*** NO MATCH AVAILABLE ***,,,
,RREADCWB,Number of times reference parent read to child 0-5.,Adult and Child Well Being,EPARREAD,Times in past week child read to by design parent,Child Well-Being,
,RREGION_INTV,Region of residence for the interview address,Residences,*** NO MATCH AVAILABLE ***,,,
,RREL1,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL10,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL11,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL12,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL13,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL14,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL15,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL16,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL17,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL18,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL19,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL2,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL20,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL21,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL22,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL23,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL24,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL25,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL26,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL27,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL28,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL29,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL3,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL30,Suppressed,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL4,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL5,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
,RREL6,Monthly household relationship to person,Demographics,*** NO MATCH AVAILABLE ***,,,
